ofqual_id,overview,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",T/618/1126,Marketing fundamentals,Understand and develop critical thinking around the core aspects of marketing as a strategic driver in business.,"1. Understand different approaches to marketing strategy.
  - Identify the appropriate use of marketing channels for the target audience of a defined organisation.
  - Critically analyse the development of an effective marketing mix.
2. Understand segmentation and positioning.
  - Undertake a segmentation, and positioning strategy for a defined organisation.
3. Be able to produce a marketing proposition.
  - Identify the target audience of a defined organisation marketing proposition.
  - Build a marketing proposition for a defined organisation.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",A/618/1127,Digital transformation,"Understand the context, factors involved in, and challenges of digital transformation. Understand each of the different areas that need focus and the challenges and common pitfalls involved.","1. Understand digital transformation and disruption.
  - Produce a report on the key forces of change and potential impact of digital change in a defined work setting.
2. Know how to build digital culture.
  - Use the digital transformation framework to build a digital transformation plan.
3. Demonstrate awareness of the ongoing nature of digital disruption and plan for ongoing change when planning for digital transformation.
",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",F/618/1128,Entrepreneurship and Start-ups,"Develop an understanding and the importance of entrepreneurship as a tool for development, the principles of entrepreneurship and the concept and principles of innovation.","1. Understand the concepts of Entrepreneurship and Intrapreneurship.
  - Analyse the personal traits and drivers present in successful entrepreneurs in comparison to those present in successful managers.
  - Explain, with examples, the importance of leadership in a start-up business.
2. Understand how to start a digital business.
  - Analyse an existing start-up and report on the potential opportunities and risks that the organisation will face.
  - Analyse a business plan or a development plan for a new start-up business.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",J/618/1129,Management and leadership culture and skills,Understand the core aspects of business management and leadership that can lead to an effective business. Apply these principles to a business and critically analyse their effectiveness.,"1. Understand the role of organisational culture and values.
  - Explain how a range of factors influence an organisation’s culture, values and achievement of objectives.
2. Understand how to manage organisational culture.
  - Evaluate a range of techniques for implementing and gaining adoption of culture.
3. Understand the role of the strategic leader.
  - Analyse the role of the strategic leader in mission, objective and goal setting.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",A/618/1130,Ethical business,"Understand the wide range of issues that need to be considered to drive an ethical approach to business. Be able to critically analyse, plan approaches that achieve ethical practices across the range of business functions.","1. Understand ethics in a business context.
  - Describe how ethical business practices may vary between small and large businesses.
  - Describe some of the ethical decisions challenges that businesses may face.
2. Be able to plan approaches to improving ethical practices.
  - Evaluate the current position of an organisation against a code of ethics.
3. Understand equality legislation and codes of practice in organisations.
  - Identify organisational and personal responsibilities and liabilities under equality legislation and codes of practice.
4. Be able to plan equality and diversity initiatives.
  - Evaluate an organisation’s commitment to equality of opportunity and diversity.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",F/618/1131,Business economics and finance,Understand the core principles of finance and economics in order to effectively manage and/or build successful businesses.,"1. Understand the principles of financial management.
  - Evaluate the role of budget setting in the financial management of a business.
2. Communicate key financial data to stakeholders.
  - Assess and analyse a financial report and detail performance against budget.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",J/618/1132,Data science,Apply the core principles of data science and use industry leading tools.,"1. Use applied data science and data science tools to complete a range of tasks.
  - Create data visualisations using industry tools.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",L/618/1133,Media production,Understand the building blocks of media production for business. Plan and use these principles in a range of business contexts and evaluate their effectiveness.,"1. Understand the principles of storytelling and media production and its use as a business tool.
  - Evaluate examples of transmedia storytelling.
2. Produce a content plan for a media story.
  - Produce a plan for a media story including workflow, roles, and focus areas.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",R/618/1134,Digital design principles,Understand the importance of graphic design theory in driving business objectives. Apply this understanding to brief and plan graphic design work effectively.,"1. Understanding branding and advertising in a design context.
  - Explain the differences between visual identity and brand identity.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",Y/618/1135,Digital design in practice,"Understand the importance of graphic design practice in driving business objectives, and develop the ability implement key graphic design skills.","1. Be able to use a photo editing software.
  - Use key tools and techniques to design and edit images for online media.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",D/618/1136,Principles of app marketing,Develop a hands-on understanding of the key principles and techniques in launching an app.,"1. Understand how to launch an app.
  - Explain ways to commercialise apps.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",H/618/1137,Interaction design,Interaction Design (IxD) is the design of interactive products and services.,"1. Understand the key principles of user experience.
  - Summarise the key psychological principles that underlie key design principles.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",K/618/1138,Emerging technologies,Understand the technological changes and skills needed to future-proof your career.,"1. Understand the role of technology in business.
  - Explain, with examples, the positive and negative impacts technology has had on society.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",M/618/1139,Project management,Understand the importance and practical methods of effective project management.,"1. Understand the concept of project management.
  - Describe the phases of a project.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",H/618/1140,Web Technologies,Develop a hands-on understanding of the key principles and techniques in web development.,"1. Understand content management software.
  - Develop a custom specification based on a specific business case.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
603/5845/2,"The TQUK Level 6 Diploma in Digital Leadership (RQF) prepares learners with the skills required for leadership roles in the digital sector, covering topics from marketing to project management.",K/618/1141,Cybersecurity,Develop a hands-on understanding of the key principles and techniques in cybersecurity.,"1. Understand the principles of cyber security.
  - Outline the core information security principles.",Vocationally-Related Qualification,Level 6,Portfolio of Evidence,Digital technology (practitioners),/organisations/RN5355,240.0,1112.0,2400.0,Training Qualifications UK Ltd
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,Y/650/1185,How to Communicate Work-Related Information,This unit covers the methods and skills to effectively communicate work-related information in a professional environment.,"1. Understand the principles of effective communication in the workplace.
  - Demonstrate communication techniques suitable for different contexts.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,D/650/1187,Principles of Team Leading,"This unit provides the knowledge and skills necessary for leading a team effectively, covering key leadership principles.","1. Explain the principles and skills required for effective team leadership.
  - Identify different leadership styles and their impact on team dynamics.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,A/650/1186,Understand Business,This unit introduces the fundamental concepts of business operations and management.,"1. Outline the key principles of business operation.
  - Identify different business structures and their functions.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,Y/650/1194,How to Deliver Customer Service and Resolve Problems,This unit focuses on the skills and techniques required to deliver high-quality customer service and handle complaints.,"1. Demonstrate effective customer service skills.
  - Effectively resolve customer queries and complaints.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,M/650/1191,How to Develop and Deliver a Presentation,This unit covers the skills and techniques needed to create and present effective presentations.,"1. Prepare and deliver presentations effectively.
  - Organize presentation content logically.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,D/650/1196,How to Manage Performance and Conflict in the Workplace,This unit covers strategies for managing workplace performance and resolving conflict.,"1. Identify strategies for performance management.
  - Evaluate different conflict resolution techniques.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,L/650/1190,Introduction to Coaching,This unit introduces the concepts and techniques of coaching to enhance performance.,"1. Understand the role of coaching in personal development.
  - Differentiate between coaching and mentoring.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,H/650/1189,Introduction to Mentoring,This unit explores the mentoring process and its benefits for professional development.,"1. Recognize the principles of effective mentoring.
  - Identify characteristics of a good mentor.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,R/650/1192,Principles of Developing Working Relationships with Colleagues and Other Stakeholders,This unit covers the importance of building effective relationships in a workplace environment.,"1. Explain the key principles of effective working relationships.
  - Demonstrate effective interpersonal skills.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,T/650/1193,Principles of Equality and Diversity in the Workplace,This unit addresses the importance of equality and diversity in the workplace.,"1. Understand the importance of equality and diversity in professional settings.
  - Identify ways to promote equality and diversity.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,D/650/0359,Sustainability and Environmental Awareness,This unit provides knowledge about sustainability practices and environmental awareness in business.,"1. Outline sustainable practices that can be applied in a workplace.
  - Identify the impact of workplace practices on the environment.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,A/650/1195,Understand Customers,This unit focuses on understanding customer needs and expectations.,"1. Analyze customer behavior and preferences.
  - Identify factors influencing customer decisions.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,H/650/1198,Understand Health and Safety Procedures in the Workplace,This unit educates about health and safety standards and procedures relevant to the workplace.,"1. Understand the importance of health and safety compliance.
  - Identify procedures for reporting health and safety issues.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
610/0374/8,NOCN Level 2 Certificate in Principles of Team Leading,F/650/1188,Understand Personal Development,This unit covers the importance of personal development in a professional context.,"1. Recognize the key components of personal development planning.
  - Identify personal strengths and areas for improvement.",Vocationally-Related Qualification,Level 2,Portfolio of Evidence,Business management,/organisations/RN5194,19.0,162.0,190.0,NOCN
601/7689/1,"The Focus Awards Level 2 Award in Employment Responsibilities and Rights in Health, Social Care or Children and Young People's Settings (RQF) aims to provide knowledge and understanding of employment law and personal development within the Health, Social Care, or Children and Young People's sector.",R/602/2954,"Understand employment responsibilities and rights in health, social care or children and young people’s settings","This unit covers essential aspects of employment responsibilities and rights in the health, social care, or children and young people’s settings, focusing on relevant legislation and personal development.","1. Understand the employment responsibilities and rights of individuals in health and social care settings.
  - Describe the main points of employment legislation that affect the workplace.",Occupational Qualification,Level 2,Portfolio of Evidence,Health and social care,/organisations/RN5353,3.0,24.0,30.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",D/601/3559,Provide Body Massage,"Learners will be able to perform body massage techniques safely and effectively, ensuring the client's wellbeing throughout the process.","1. Demonstrate the ability to prepare for and provide body massage treatments.
  - Prepare and maintain the treatment area to create a comfortable environment.
  - Conduct a pre-treatment consultation with clients.
2. Apply appropriate body massage techniques tailored to client needs.
  - Demonstrate a variety of massage techniques securely and effectively.
  - Evaluate the response of the client to the massage treatment.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",J/601/5337,Promote and sell products and services to clients,This unit focuses on developing skills to effectively promote and sell beauty products and services to clients.,"1. Communicate product information effectively to clients.
  - Explain the benefits of products and services to clients.
  - Handle client queries professionally.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",R/600/8780,Monitor and maintain health and safety practice in the salon,Understand and apply health and safety practices relevant to the beauty therapy industry.,"1. Demonstrate knowledge of health and safety regulations.
  - Identify health and safety hazards in the workplace and their implications.
  - Implement health and safety procedures effectively.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",R/601/4448,Provide pedicure treatments,Skill development for providing comprehensive pedicure treatments to clients.,"1. Prepare for and carry out pedicure treatments.
  - Assess the client's needs before providing treatments.
  - Demonstrate proper techniques for pedicures.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",M/617/3378,Develop and maintain effectiveness at work,This unit helps learners develop personal effectiveness in the workplace.,"1. Manage own time and resources efficiently.
  - Set realistic personal goals and work towards achieving them.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",Y/600/9011,Ensure your own actions reduce risks to health and safety,Focus on personal responsibility in maintaining health and safety in the workplace.,"1. Understand the importance of personal hygiene and safety in beauty therapy.
  - Identify personal practices that can influence health and safety.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",T/617/3379,Provide facial skin care treatment,Skills to provide effective facial treatments to clients.,"1. Prepare for and perform different types of facial skincare treatments.
  - Conduct a skin assessment and recommend appropriate products.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",K/617/3380,Enhance the appearance of eyebrows and eyelashes,Learn techniques for eyebrow and eyelash enhancement.,"1. Perform enhancements to eyebrows and eyelashes safely and effectively.
  - Demonstrate artistry and correct techniques for appearances.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",T/601/4569,Provide manicure treatments,Skill building for conducting manicure treatments.,"1. Successfully conduct manicure treatments ensuring client satisfaction.
  - Select and use tools effectively and safely.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",L/617/3386,Carry out waxing services,This unit covers methods for providing waxing services.,"1. Demonstrate proper waxing techniques for effective hair removal.
  - Prepare the workspace and client properly.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
603/5093/3,"The Focus Awards Level 3 Diploma in Combined Beauty Therapy Skills (RQF) is aimed at learners wishing to gain knowledge and skills in beauty therapy. It is designed to develop knowledge and confirm competence as beauty therapists, allowing for safe and proper delivery of beauty treatments in compliance with health and safety regulations.",A/617/1018,Apply make-up,Techniques for applying make-up for various occasions.,"1. Carry out make-up applications that enhance client features.
  - Select suitable products for different skin types.",Occupational Qualification,Level 3,Portfolio of Evidence,Service enterprises,/organisations/RN5353,84.0,774.0,840.0,Focus Awards Limited
600/4284/9,"The Highfield Level 2 Certificate and Diploma in Retail Skills aim to support learners in obtaining essential skills for roles in retail, including customer service and stock management.",T/503/5735,Work effectively in a retail team,"This unit assesses the occupational competence of individuals working in a retail environment, who are expected to work as part of a team.","1. Understand how to recognise discrimination, bullying and harassment in own workplace
  - Explain how legislation and own employer define discrimination, bullying and harassment
  - Explain own employer’s procedures for dealing with discrimination, bullying and harassment
2. Be able to work effectively in a retail team
  - Ask for help and information from colleagues when needed
  - Respond to colleagues’ requests for help and information within the limits of own responsibility",Occupational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,24.0,73.0,240.0,Highfield Qualifications
600/4284/9,"The Highfield Level 2 Certificate and Diploma in Retail Skills aim to support learners in obtaining essential skills for roles in retail, including customer service and stock management.",R/503/5659,Receive goods and materials into storage in a retail environment,This unit assesses the occupational competence of individuals who are responsible for receiving deliveries of goods and materials in a retail environment.,"1. Understand the importance of preparing for expected deliveries
  - Explain why it is necessary to prepare thoroughly to receive deliveries
  - Explain why any shortage of storage space needs to be reported promptly",Occupational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,24.0,73.0,240.0,Highfield Qualifications
600/4284/9,"The Highfield Level 2 Certificate and Diploma in Retail Skills aim to support learners in obtaining essential skills for roles in retail, including customer service and stock management.",J/503/5660,Place goods and materials into storage in a retail environment,This unit assesses the occupational competence of individuals working in a retail environment who are responsible for moving goods and materials into storage.,"1. Understand the requirements for storing goods and materials in a retail environment
  - Explain what might cause the goods and materials to deteriorate in storage
  - Describe the types of storage facilities needed for goods",Occupational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,24.0,73.0,240.0,Highfield Qualifications
600/4284/9,"The Highfield Level 2 Certificate and Diploma in Retail Skills aim to support learners in obtaining essential skills for roles in retail, including customer service and stock management.",L/503/5661,Keep stock on sale at required levels in a retail environment,This unit assesses the occupational competence of people who work in a retail environment and are responsible for maintaining stock levels to meet changing demand.,"1. Understand the relationship between stock levels and demand for stock
  - Explain the importance of having enough stock in the store to meet demand
  - Describe the factors that can affect demand for stock",Occupational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,24.0,73.0,240.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",L/617/5252,Customer,Understand the customer profile and methods of communicating effectively with customers to support and increase sales and customer loyalty.,"1. Know the customer profile of the business, appropriate methods for communicating with customers, and how to support and increase sales.
  - List the key features and benefits of excellent customer service.
  - Explain the importance of excellent customer service to business success.
  - Identify typical customer profile(s).
2. Positively interact with customers using appropriate methods.
  - Clearly communicate accurate and helpful information to customers.
  - Make every interaction with a customer an opportunity to increase their loyalty.
3. Adopt an approach that demonstrates a genuine interest in meeting customer needs.
  - Listen to and address customers’ questions or complaints effectively.
  - Use methods of communication and rapport building in line with the business.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",H/617/5256,Communications,Know how to identify and determine individuals’ situations and respond appropriately in line with business culture.,"1. Know how to communicate effectively with customers.
  - Explain why excellent communication is important to businesses.
  - Describe the impact of body language in communication.
2. Use effective methods of communication that achieve the desired result.
  - Support customer interactions by adapting body language and tone.
  - Demonstrate empathy for the person being communicated with.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",T/617/5259,Business,"Know how to contribute to the vision, objectives and brand standards of the business.","1. Describe how business objectives relate to own role.
  - Explain the purpose of a vision statement.
  - Describe the importance of brand standards.
2. Establish rapport with customers and promote business values.
  - Operate in an accountable manner.
  - Positively present brand standards in all communications.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",K/617/5260,Brand Reputation,Understand the importance of brand and business reputation.,"1. Explain how personal conduct can impact brand reputation.
  - Describe the link between brand reputation and business success.
  - List how own actions impact brand reputation.
2. Respond to situations that threaten brand reputation.
  - Uphold a positive brand and business reputation at all times.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",M/617/5261,Sales and Promotion,Understand sales opportunities and the need to know customers’ buying habits.,"1. Describe how sales targets differ according to the retail calendar.
  - Explain own contribution to meeting sales targets.
  - Describe different selling techniques.
2. Use a variety of sales techniques to provide customer information.
  - Select and use a range of selling techniques appropriate to the situation.
  - Actively sell without pressuring customers.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
603/4309/6,"This qualification has been developed to support learners completing the Retailer Apprenticeship Standard and can be used to assess their readiness for end-point assessment. It covers the knowledge, skills and behaviour pass criteria of the standard, as described in the relevant Assessment Plan.",T/617/5262,Financial,Understand principles of operating commercially and supporting overall financial performance.,"1. Outline principles of operating commercially in the retail environment.
  - Identify what costs are.
  - Describe techniques for increasing sales at a low cost.
2. Deliver a sales service that meets customer needs while balancing financial performance.
  - Use methods that enhance sales and reduce costs while delivering customer service.",Other Vocational Qualification,Level 2,Portfolio of Evidence,Retailing and wholesaling,/organisations/RN5219,37.0,244.0,372.0,Highfield Qualifications
